"ID","code","indicator","year","amsterdam_code","naam"
"133","NLSTR","Strikes in Netherlands","1842","","HALLUM"
"134","NLSTR","Strikes in Netherlands","1842","10795","ARNHEM"
"134","NLSTR","Strikes in Netherlands","1842","10743","EDE"
"135","NLSTR","Strikes in Netherlands","1843","","OUDEGA"
"136","NLSTR","Strikes in Netherlands","1843","10269","RENSWOUDE"
"137","NLSTR","Strikes in Netherlands","1844","","HEMELUMER"
"138","NLSTR","Strikes in Netherlands","1844","11322","WESTSTELLINGWERF"
"139","NLSTR","Strikes in Netherlands","1844","","KOLHORN"
"140","NLSTR","Strikes in Netherlands","1844","10053","CROMVOIRT"
"141","NLSTR","Strikes in Netherlands","1844","10704","TERNEUZEN"
"142","NLSTR","Strikes in Netherlands","1844","10601","NOOTDORP"
"142","NLSTR","Strikes in Netherlands","1844","10853","VRIJENBAN"
"143","NLSTR","Strikes in Netherlands","1845","10961","BUIKSLOOT"
"144","NLSTR","Strikes in Netherlands","1845","10257","BIERVLIET"
"145","NLSTR","Strikes in Netherlands","1845","10604","LEEK"
"146","NLSTR","Strikes in Netherlands","1845","","HEMELUMER"
"147","NLSTR","Strikes in Netherlands","1845","","NOORDWOLDE"
"148","NLSTR","Strikes in Netherlands","1845","","TER IDZARD"
"149","NLSTR","Strikes in Netherlands","1846","11298","EINDHOVEN"
"149","NLSTR","Strikes in Netherlands","1846","10932","HELMOND"
"150","NLSTR","Strikes in Netherlands","1846","10243","WISSENKERKE"
"151","NLSTR","Strikes in Netherlands","1846","","BEVELAND"
"152","NLSTR","Strikes in Netherlands","1846","10931","WESTKAPELLE"
"153","NLSTR","Strikes in Netherlands","1846","11224","VUGHT"
"154","NLSTR","Strikes in Netherlands","1848","10486","PHILIPPINE"
"155","NLSTR","Strikes in Netherlands","1848","10257","BIERVLIET"
"156","NLSTR","Strikes in Netherlands","1848","10639","LOOSDRECHT"
"157","NLSTR","Strikes in Netherlands","1849","","HOLLAREPOLDER"
"158","NLSTR","Strikes in Netherlands","1849","10253","KAMPEN"
"159","NLSTR","Strikes in Netherlands","1849","10277","GEMERT"
"160","NLSTR","Strikes in Netherlands","1849","","ORTHEN"
"160","NLSTR","Strikes in Netherlands","1849","10982","HEDEL"
"161","NLSTR","Strikes in Netherlands","1850","10674","GOES"
"162","NLSTR","Strikes in Netherlands","1850","","DEDEMSVAART"
"163","NLSTR","Strikes in Netherlands","1850","10100","VOGELWAARDE"
"164","NLSTR","Strikes in Netherlands","1850","10932","HELMOND"
"165","NLSTR","Strikes in Netherlands","1851","","KOUDUM"
"166","NLSTR","Strikes in Netherlands","1852","10479","RILLAND-BATH"
"167","NLSTR","Strikes in Netherlands","1852","10759","ZEELAND"
"168","NLSTR","Strikes in Netherlands","1853","","FRIESLAND"
"169","NLSTR","Strikes in Netherlands","1853","","DRENTE"
"170","NLSTR","Strikes in Netherlands","1853","10799","AMSTELVEEN"
"171","NLSTR","Strikes in Netherlands","1853","","TERWISPEL"
"172","NLSTR","Strikes in Netherlands","1853","","APPELSCHA"
"173","NLSTR","Strikes in Netherlands","1854","11260","SCHIEDAM"
"174","NLSTR","Strikes in Netherlands","1855","10154","BREDA"
"174","NLSTR","Strikes in Netherlands","1855","","MOERDIJK"
"175","NLSTR","Strikes in Netherlands","1855","","FRIESLAND"
"176","NLSTR","Strikes in Netherlands","1856","10198","DOKKUM"
"177","NLSTR","Strikes in Netherlands","1856","","TERWISPEL"
"178","NLSTR","Strikes in Netherlands","1856","","DEDEMSVAART"
"179","NLSTR","Strikes in Netherlands","1857","","ZUID-HOLLAND"
"179","NLSTR","Strikes in Netherlands","1857","","GOERE-OVERFLAKKEE"
"180","NLSTR","Strikes in Netherlands","1857","10722","UTRECHT"
"181","NLSTR","Strikes in Netherlands","1857","10540","HEERJANSDAM"
"182","NLSTR","Strikes in Netherlands","1858","","KOUDUM"
"182","NLSTR","Strikes in Netherlands","1858","","OUDE-NIJEGA"
"183","NLSTR","Strikes in Netherlands","1858","10180","ULRUM"
"184","NLSTR","Strikes in Netherlands","1860","10546","STEENWIJK"
"185","NLSTR","Strikes in Netherlands","1861","10154","BREDA"
"186","NLSTR","Strikes in Netherlands","1861","10928","DELFT"
"187","NLSTR","Strikes in Netherlands","1861","10365","WILNIS"
"188","NLSTR","Strikes in Netherlands","1861","","BORSSELE"
"189","NLSTR","Strikes in Netherlands","1861","10602","WOENSDRECHT"
"190","NLSTR","Strikes in Netherlands","1861","10546","STEENWIJK"
"191","NLSTR","Strikes in Netherlands","1861","11069","OMMEN"
"192","NLSTR","Strikes in Netherlands","1862","11180","EMMEN"
"193","NLSTR","Strikes in Netherlands","1862","10546","STEENWIJK"
"194","NLSTR","Strikes in Netherlands","1862","10364","ENSCHEDE"
"194","NLSTR","Strikes in Netherlands","1862","11045","LONNEKER"
"195","NLSTR","Strikes in Netherlands","1863","10909","HARLINGEN"
"196","NLSTR","Strikes in Netherlands","1902","10345","ROTTERDAM"
"197","NLSTR","Strikes in Netherlands","1902","","EMMER-COMPASCUUM"
"198","NLSTR","Strikes in Netherlands","1902","10345","ROTTERDAM"
"199","NLSTR","Strikes in Netherlands","1902","11150","AMSTERDAM"
"200","NLSTR","Strikes in Netherlands","1902","","CAPELLE AD IJSSEL"
"201","NLSTR","Strikes in Netherlands","1902","11150","AMSTERDAM"
"202","NLSTR","Strikes in Netherlands","1912","11150","AMSTERDAM"
"203","NLSTR","Strikes in Netherlands","1912","10426","GRONINGEN"
"204","NLSTR","Strikes in Netherlands","1912","11038","KRABBENDIJKE"
"205","NLSTR","Strikes in Netherlands","1912","10361","WORMERVEER"
"206","NLSTR","Strikes in Netherlands","1900","10976","DELFZIJL"
"207","NLSTR","Strikes in Netherlands","1900","10965","CLINGE"
"208","NLSTR","Strikes in Netherlands","1888","","JUBBEGA"
"209","NLSTR","Strikes in Netherlands","1888","11053","ALMELO"
"210","NLSTR","Strikes in Netherlands","1888","10932","HELMOND"
"211","NLSTR","Strikes in Netherlands","1888","","DRENTE"
"212","NLSTR","Strikes in Netherlands","1888","10522","ASSEN"
"213","NLSTR","Strikes in Netherlands","1888","11322","WESTSTELLINGWERF"
"214","NLSTR","Strikes in Netherlands","1888","11292","VEENDAM"
"215","NLSTR","Strikes in Netherlands","1888","10680","HEERENVEEN"
"216","NLSTR","Strikes in Netherlands","1888","10320","BLANKENHAM"
"216","NLSTR","Strikes in Netherlands","1888","10689","BLOKZIJL"
"217","NLSTR","Strikes in Netherlands","1888","10156","BARRADEEL"
"218","NLSTR","Strikes in Netherlands","1888","","BLERICK"
"219","NLSTR","Strikes in Netherlands","1888","10932","HELMOND"
"220","NLSTR","Strikes in Netherlands","1912","10976","DELFZIJL"
"221","NLSTR","Strikes in Netherlands","1912","10356","MIDWOLDA"
"222","NLSTR","Strikes in Netherlands","1912","10811","VLAARDINGEN"
"223","NLSTR","Strikes in Netherlands","1912","","ZWIJNDRECH"
"224","NLSTR","Strikes in Netherlands","1912","10419","BOSKOOP"
"225","NLSTR","Strikes in Netherlands","1912","10281","BUSSUM"
"226","NLSTR","Strikes in Netherlands","1912","11137","UITHUIZEN"
"227","NLSTR","Strikes in Netherlands","1913","11325","RENKUM"
"228","NLSTR","Strikes in Netherlands","1913","","APPELSCHA"
"228","NLSTR","Strikes in Netherlands","1913","","FOCHTELOO"
"229","NLSTR","Strikes in Netherlands","1913","11180","EMMEN"
"230","NLSTR","Strikes in Netherlands","1913","11150","AMSTERDAM"
"231","NLSTR","Strikes in Netherlands","1913","11150","AMSTERDAM"
"232","NLSTR","Strikes in Netherlands","1898","","APEL, TER"
"233","NLSTR","Strikes in Netherlands","1898","11150","AMSTERDAM"
"234","NLSTR","Strikes in Netherlands","1898","11387","HAARLEMMERMEER"
"235","NLSTR","Strikes in Netherlands","1898","11119","WINTERSWIJK"
"236","NLSTR","Strikes in Netherlands","1898","10345","ROTTERDAM"
"237","NLSTR","Strikes in Netherlands","1898","11150","AMSTERDAM"
"238","NLSTR","Strikes in Netherlands","1898","11150","AMSTERDAM"
"239","NLSTR","Strikes in Netherlands","1898","11150","AMSTERDAM"
"240","NLSTR","Strikes in Netherlands","1898","10410","HOOGEZAND"
"241","NLSTR","Strikes in Netherlands","1898","","DEN HAAG"
"242","NLSTR","Strikes in Netherlands","1898","11150","AMSTERDAM"
"243","NLSTR","Strikes in Netherlands","1898","11150","AMSTERDAM"
"244","NLSTR","Strikes in Netherlands","1898","11150","AMSTERDAM"
"245","NLSTR","Strikes in Netherlands","1898","11150","AMSTERDAM"
"246","NLSTR","Strikes in Netherlands","1898","11245","PERNIS"
"247","NLSTR","Strikes in Netherlands","1898","11150","AMSTERDAM"
"248","NLSTR","Strikes in Netherlands","1898","","KNIJPE"
"249","NLSTR","Strikes in Netherlands","1898","11150","AMSTERDAM"
"250","NLSTR","Strikes in Netherlands","1898","10722","UTRECHT"
"251","NLSTR","Strikes in Netherlands","1898","10948","AMERSFOORT"
"252","NLSTR","Strikes in Netherlands","1898","11150","AMSTERDAM"
"253","NLSTR","Strikes in Netherlands","1898","11150","AMSTERDAM"
"254","NLSTR","Strikes in Netherlands","1898","11150","AMSTERDAM"
"255","NLSTR","Strikes in Netherlands","1898","11150","AMSTERDAM"
"256","NLSTR","Strikes in Netherlands","1908","10005","OPSTERLAND"
"257","NLSTR","Strikes in Netherlands","1908","11395","POORTUGAAL"
"258","NLSTR","Strikes in Netherlands","1908","10182","MAASTRICHT"
"259","NLSTR","Strikes in Netherlands","1908","10364","ENSCHEDE"
"260","NLSTR","Strikes in Netherlands","1908","11228","LEEUWARDEN"
"261","NLSTR","Strikes in Netherlands","1900","11044","ZAANDAM"
"262","NLSTR","Strikes in Netherlands","1900","","HAM, DEN"
"263","NLSTR","Strikes in Netherlands","1900","10197","LISSE"
"264","NLSTR","Strikes in Netherlands","1900","","SCHOONOORD"
"265","NLSTR","Strikes in Netherlands","1900","10795","ARNHEM"
"266","NLSTR","Strikes in Netherlands","1900","11150","AMSTERDAM"
"267","NLSTR","Strikes in Netherlands","1900","10310","NEDERHEMERT"
"268","NLSTR","Strikes in Netherlands","1902","11150","AMSTERDAM"
"269","NLSTR","Strikes in Netherlands","1902","","DEN HAAG"
"270","NLSTR","Strikes in Netherlands","1902","10948","AMERSFOORT"
"271","NLSTR","Strikes in Netherlands","1902","11150","AMSTERDAM"
"272","NLSTR","Strikes in Netherlands","1902","10357","HAARLEM"
"273","NLSTR","Strikes in Netherlands","1902","10798","BRUMMEN"
"274","NLSTR","Strikes in Netherlands","1902","11150","AMSTERDAM"
"275","NLSTR","Strikes in Netherlands","1902","","EMMER-COMPASCUUM"
"276","NLSTR","Strikes in Netherlands","1902","11150","AMSTERDAM"
"277","NLSTR","Strikes in Netherlands","1902","11421","SNEEK"
"278","NLSTR","Strikes in Netherlands","1902","11150","AMSTERDAM"
"279","NLSTR","Strikes in Netherlands","1902","","DEN HAAG"
"280","NLSTR","Strikes in Netherlands","1900","11044","ZAANDAM"
"281","NLSTR","Strikes in Netherlands","1900","11150","AMSTERDAM"
"282","NLSTR","Strikes in Netherlands","1900","10345","ROTTERDAM"
"283","NLSTR","Strikes in Netherlands","1900","11150","AMSTERDAM"
"284","NLSTR","Strikes in Netherlands","1900","10345","ROTTERDAM"
"285","NLSTR","Strikes in Netherlands","1900","","BEETGUM"
"286","NLSTR","Strikes in Netherlands","1900","10795","ARNHEM"
"287","NLSTR","Strikes in Netherlands","1900","","BEETGUM"
"287","NLSTR","Strikes in Netherlands","1900","11226","FRANEKER"
"288","NLSTR","Strikes in Netherlands","1900","10704","TERNEUZEN"
"289","NLSTR","Strikes in Netherlands","1900","11150","AMSTERDAM"
"290","NLSTR","Strikes in Netherlands","1900","11405","SAS VAN GENT"
"291","NLSTR","Strikes in Netherlands","1900","11150","AMSTERDAM"
"292","NLSTR","Strikes in Netherlands","1900","11150","AMSTERDAM"
"293","NLSTR","Strikes in Netherlands","1900","10340","BELLINGWOLDE"
"293","NLSTR","Strikes in Netherlands","1900","10453","WINSCHOTEN"
"294","NLSTR","Strikes in Netherlands","1900","","NOORDWOLDE"
"295","NLSTR","Strikes in Netherlands","1895","10702","LEIDEN"
"296","NLSTR","Strikes in Netherlands","1895","10182","MAASTRICHT"
"297","NLSTR","Strikes in Netherlands","1895","11150","AMSTERDAM"
"298","NLSTR","Strikes in Netherlands","1895","10182","MAASTRICHT"
"299","NLSTR","Strikes in Netherlands","1895","11150","AMSTERDAM"
"300","NLSTR","Strikes in Netherlands","1895","10364","ENSCHEDE"
"301","NLSTR","Strikes in Netherlands","1901","10290","HETEREN"
"302","NLSTR","Strikes in Netherlands","1901","10676","WIERDEN"
"303","NLSTR","Strikes in Netherlands","1901","10364","ENSCHEDE"
"304","NLSTR","Strikes in Netherlands","1901","10281","BUSSUM"
"305","NLSTR","Strikes in Netherlands","1901","10345","ROTTERDAM"
